Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara (%),wakil,,,
144,2018,Kota Bau Bau,2,Wakil Walikota,La Ode Ahmad Monianse,20255,30.92,TRUE,0,36.81,
144,2018,Kota Bau Bau,3,Wakil Walikota,Ikhsan Ismail,3861,5.89,TRUE,0,31.86,
144,2018,Kota Bau Bau,4,Wakil Walikota,"Drs. H. Ahmad, Mm",17014,25.97,TRUE,0,38.62,
144,2018,Kota Bau Bau,5,Wakil Walikota,"Ilyas, S.Sos",8284,12.65,TRUE,1,,38.62
145,2018,Kabupaten Bolaang Mongondow Utara,1,Wakil Bupati,"Arman Lumoto, S.Ag., M.Pd.I",10521,21.31,TRUE,0,61.1,
145,2018,Kabupaten Bolaang Mongondow Utara,2,Wakil Bupati,"Drs. Hi. Amin Lasena, M.Ap",19645,39.79,TRUE,0,78.69,
145,2018,Kabupaten Bolaang Mongondow Utara,3,Wakil Bupati,"Drs. Murianto Babay, M.M",19202,38.9,TRUE,1,,78.69
146,2018,Kabupaten Kep. Siau Tagulandang Biaro,1,Wakil Bupati,Ir. Jutixel Rudolf Parera,10833,23.67,TRUE,0,46.77,
146,2018,Kabupaten Kep. Siau Tagulandang Biaro,2,Wakil Bupati,"Heronimus Makainas, Se",10572,23.1,TRUE,0,30.21,
146,2018,Kabupaten Kep. Siau Tagulandang Biaro,3,Wakil Bupati,"Elians Bawole, Se",3256,7.11,TRUE,0,53.22,
146,2018,Kabupaten Kep. Siau Tagulandang Biaro,4,Wakil Bupati,"Drs. John Heit Palandung, M.Si",21103,46.11,TRUE,1,,53.22
147,2018,Kabupaten Kepulauan Talaud,1,Wakil Bupati,Moktar Arunde Parapaga,22674,39.09,TRUE,0,67.26,
147,2018,Kabupaten Kepulauan Talaud,2,Wakil Bupati,"Heber Pasiak, S.Pi",16341,28.17,TRUE,0,53.21,
147,2018,Kabupaten Kepulauan Talaud,3,Wakil Bupati,"Capt. Gunawan Talenggoran, Se, M.Mar",14525,25.04,TRUE,0,32.73,
147,2018,Kabupaten Kepulauan Talaud,4,Wakil Bupati,"Dr. Clartje Silvia. E. Awulle, S.H. M.Th",446,7.69,TRUE,1,,32.73
148,2018,Kota Kotamobagu,1,Wakil Walikota,"Nayodo Koerniawan, Sh",37508,54.31,TRUE,0,100,
148,2018,Kota Kotamobagu,2,Wakil Walikota,Drs. Suharjo Makalalag,31561,45.69,TRUE,1,,100
149,2018,Kabupaten Minahasa,1,Wakil Bupati,"Careig Naichel Runtu, S.Ip",71124,34.98,TRUE,0,100,
149,2018,Kabupaten Minahasa,2,Wakil Bupati,"Robby Dondokambey, S.Si",13219,65.02,TRUE,1,,100
150,2018,Kabupaten Minahasa Tenggara,1,Wakil Bupati,Jesaja Jocke Oscar Legi,47499,67.26,TRUE,1,,132.28
151,2018,Kota Padang,1,Wakil Walikota,"H. Desri Ayunda, Se, Mba",62311,34.62,TRUE,0,100,
151,2018,Kota Padang,2,Wakil Walikota,"Hendri Septa, B.Bus (Acc)., Mib",117652,65.38,TRUE,1,,100
152,2018,Kota Padang Panjang,1,Wakil Walikota,"Taufiq Idris, Sh",4256,16.54,TRUE,0,52.84,
152,2018,Kota Padang Panjang,2,Wakil Walikota,"H. Eko Furqani, Se, Mm",9338,36.3,TRUE,0,43.84,
152,2018,Kota Padang Panjang,3,Wakil Walikota,"Ahmad Fadly, S.Psi",194,7.54,TRUE,0,47.16,
152,2018,Kota Padang Panjang,4,Wakil Walikota,Drs. Asrul,10191,39.62,TRUE,1,,47.16
153,2018,Kota Pariaman,1,Wakil Walikota,"Muhamad Ridwan, S.Ip",0,0,TRUE,0,0,
153,2018,Kota Pariaman,2,Wakil Walikota,Pabrisal,0,0,TRUE,0,0,
153,2018,Kota Pariaman,3,Wakil Walikota,"Drs. Mardison Mahyuddin, Mm",0,0,TRUE,1,,0
154,2018,Kota Sawahlunto,1,Wakil Walikota,"H. Dasrial Ery, Se.Mm",6659,19.21,TRUE,0,52.91,
154,2018,Kota Sawahlunto,2,Wakil Walikota,"H. Ismed, Sh",11681,33.7,TRUE,0,80.78,
154,2018,Kota Sawahlunto,3,Wakil Walikota,"Zohirin Sayuti, Se",16319,47.08,TRUE,1,,80.78
155,2018,Kabupaten Banyuasin,1,Wakil Bupati,"H. Hazuar Bidui Az, S. Sos., M.M",31758,9.21,TRUE,0,34.74,
155,2018,Kabupaten Banyuasin,2,Wakil Bupati,H. Hazwar Hamid,88008,25.53,TRUE,0,45.86,
155,2018,Kabupaten Banyuasin,3,Wakil Bupati,Ir. H. Supartijo,70109,20.33,TRUE,0,30.97,
155,2018,Kabupaten Banyuasin,4,Wakil Bupati,"H. Agus Salam, Sh",36683,10.64,TRUE,0,44.93,
155,2018,Kabupaten Banyuasin,5,Wakil Bupati,H. Slamet,118227,34.29,TRUE,1,,44.93
156,2018,Kabupaten Empat Lawang,1,Wakil Bupati,"H. M. Eduar Kohar,Se.,Mm  (Hek)",47042,34.75,TRUE,0,94.91,
156,2018,Kabupaten Empat Lawang,2,Wakil Bupati,Yulius Maulana,81443,60.16,TRUE,0,65.26,
156,2018,Kabupaten Empat Lawang,3,Wakil Bupati,"Drs.H.Kison Syahrin,Mm",69,5.1,TRUE,1,,65.26
157,2018,Kota Lubuklinggau,1,Wakil Walikota,"Sofyan, Sh",7898,7.05,TRUE,0,63.23,
157,2018,Kota Lubuklinggau,2,Wakil Walikota,"H. Sulaiman Kohar, Sh, Mh",62923,56.18,TRUE,0,92.95,
157,2018,Kota Lubuklinggau,3,Wakil Walikota,"Riezky Aprilia, Sh, Mh",41179,36.77,TRUE,1,,92.95
158,2018,Kota Pagar Alam,1,Wakil Walikota,Ir. Musabaqo,1969,2.35,TRUE,0,30.09,
158,2018,Kota Pagar Alam,2,Wakil Walikota,"Muhammad Fadli, Se",23217,27.74,TRUE,0,47.13,
158,2018,Kota Pagar Alam,3,Wakil Walikota,"Ir. Armansah, Mm",16232,19.39,TRUE,0,41.63,
158,2018,Kota Pagar Alam,4,Wakil Walikota,"H. Suharindi Sj, S.Pd.,Mm",18617,22.24,TRUE,0,36.18,
158,2018,Kota Pagar Alam,5,Wakil Walikota,H. A. Fachri,11669,13.94,TRUE,0,28.27,
158,2018,Kota Pagar Alam,6,Wakil Walikota,"Febrianto, Sh., S.Si",11998,14.33,TRUE,1,,28.27
159,2018,Kota Palembang,1,Wakil Walikota,"Fitrianti Agustinda, S.H.",207015,46.12,TRUE,0,83.32,
159,2018,Kota Palembang,2,Wakil Walikota,"Ir. Kgs. H. Abdul Rozak, M.Sc.",166976,37.2,TRUE,0,41.34,
159,2018,Kota Palembang,3,Wakil Walikota,Hernoe Roesprijadji,18584,4.14,TRUE,0,16.68,
159,2018,Kota Palembang,4,Wakil Walikota,H. Syaidina Ali,56309,12.54,TRUE,1,,16.68
160,2018,Kota Prabumulih,1,Wakil Walikota,"H. Andriansyah Fikri, S.H.",7443,79.27,TRUE,1,,91.81
161,2018,Kabupaten Lahat,1,Wakil Bupati,"Herliansyah, Sh., Mh",45205,21.51,TRUE,0,26.45,
161,2018,Kabupaten Lahat,2,Wakil Bupati,"H. Erlansyah Rumsyah, Se, Mm",10372,4.94,TRUE,0,48.26,
161,2018,Kabupaten Lahat,3,Wakil Bupati,"H. Haryanto, Se, Mm",91033,43.32,TRUE,0,66.95,
161,2018,Kabupaten Lahat,4,Wakil Bupati,"Drs. Parhan Berza, Mm",49666,23.63,TRUE,0,30.23,
161,2018,Kabupaten Lahat,5,Wakil Bupati,Rozi Adiansyah,13877,6.6,TRUE,1,,30.23
162,2018,Kabupaten Muara Enim,1,Wakil Bupati,"Ir. H. Hanan Zulkarnain, Mtp",33113,19.85,TRUE,0,43.94,
162,2018,Kabupaten Muara Enim,2,Wakil Bupati,M. Thamrin Az,40192,24.09,TRUE,0,45.07,
162,2018,Kabupaten Muara Enim,3,Wakil Bupati,"Syuryadi, Se",35005,20.98,TRUE,0,56.05,
162,2018,Kabupaten Muara Enim,4,Wakil Bupati,"H. Juarsah, Sh",58504,35.07,TRUE,1,,56.05
163,2018,Kabupaten Ogan Komering Ilir,1,Wakil Bupati,H. M. Dja'Far Shodiq,169027,46.91,TRUE,0,79.78,
163,2018,Kabupaten Ogan Komering Ilir,2,Wakil Bupati,"Made Indrawan, St., Mh",118438,32.87,TRUE,0,53.1,
163,2018,Kabupaten Ogan Komering Ilir,3,Wakil Bupati,H. Qomarus Zaman,72893,20.23,TRUE,1,,53.1
164,2018,Kabupaten Batu Bara,1,Wakil Bupati,"Dr. H. Mhd Syafi'I, Sh, Mh, M.Si",31147,17.79,TRUE,0,52.89,
164,2018,Kabupaten Batu Bara,2,Wakil Bupati,"H. Janmat Sembiring, Se",61457,35.1,TRUE,0,76.94,
164,2018,Kabupaten Batu Bara,3,Wakil Bupati,"Oky Iqbal Frima, Se",73251,41.84,TRUE,0,47.1,
164,2018,Kabupaten Batu Bara,4,Wakil Bupati,"Drs. H. Sofyan Alwi, M.Hum",9213,5.26,TRUE,1,,47.1
165,2018,Kabupaten Dairi,1,Wakil Bupati,"Azhar Bintang, Sh",59086,40.22,TRUE,0,99.04,
165,2018,Kabupaten Dairi,2,Wakil Bupati,"Jimmy Andrea Lukita Sihombing, Sh",86403,58.82,TRUE,0,59.78,
165,2018,Kabupaten Dairi,3,Wakil Bupati,"Bilker Purba, Amd",1408,0.96,TRUE,1,,59.78
166,2018,Kabupaten Deli Serdang,1,Wakil Bupati,H.M Ali Yusuf Siregar,449908,82.22,TRUE,1,,83.18
167,2018,Kota Padang Sidimpuan,1,Wakil Walikota,"Dr. H. Ali Pada Harahap, M.Pd",25104,25.43,TRUE,0,55.8,
167,2018,Kota Padang Sidimpuan,2,Wakil Walikota,"Drs. H. Abd. Rosad Lubis, Mm",29973,30.37,TRUE,0,74.57,
167,2018,Kota Padang Sidimpuan,3,Wakil Walikota,"Ir. H. Arwin Siregar, Mm",43628,44.2,TRUE,1,,74.57
168,2018,Kabupaten Langkat,1,Wakil Bupati,"H. Syah Afandin, Sh",248078,51.68,TRUE,0,88.06,
168,2018,Kabupaten Langkat,2,Wakil Bupati,Budiono.Se,17465,36.38,TRUE,0,48.32,
168,2018,Kabupaten Langkat,3,Wakil Bupati,"Heriansyah, S.Ag",57336,11.94,TRUE,1,,48.32
169,2018,Kabupaten Padang Lawas,1,Wakil Bupati,"Ir. H. Syarifuddin Hsb, M.Si",32178,27.5,TRUE,0,84.23,
169,2018,Kabupaten Padang Lawas,2,Wakil Bupati,"Drg. H.Ahmad Zarnawi Pasaribu,C.Ht.,Mm.,M.Si",66365,56.73,TRUE,0,72.5,
169,2018,Kabupaten Padang Lawas,3,Wakil Bupati,Syahrul Efendi Hasibuan,18448,15.77,TRUE,1,,72.5
170,2018,Kabupaten Padang Lawas Utara,1,Wakil Bupati,"H. Hariro Harahap, Se, M.Si",86976,80.23,TRUE,1,,96
171,2018,Kabupaten Tapanuli Utara,1,Wakil Bupati,"SARLANDY HUTABARAT, SH",69443,46.19,TRUE,0,86.76,
171,2018,Kabupaten Tapanuli Utara,2,Wakil Bupati,"FRENGKY P. SIMANJUNTAK, SE, M.Si",61002,40.57,TRUE,0,53.81,
171,2018,Kabupaten Tapanuli Utara,3,Wakil Bupati,"Drs. HOTMAN P. HUTASOIT, BSc, SH",19901,13.24,TRUE,1,,53.81
