Nomor,Tahun,Daerah,No Pasangan,Jabatan,Nama,Jumlah Suara,Persentase Suara
87,2018,Kabupaten Katingan,4,Bupati,"H. Ade Supriadi, Sp, Mh",9.134,13.01%
87,2018,Kabupaten Katingan,4,Wakil Bupati,Ali Sameon Anom,9.134,13.01%
87,2018,Kabupaten Katingan,5,Bupati,"H. Wiwin Susanto, S.Pd",10.572,15.06%
87,2018,Kabupaten Katingan,5,Wakil Bupati,Drs. Elman D. Dangan,10.572,15.06%
88,2018,Kota Palangkaraya,1,Walikota,Tuty Dau,9.822,8.65%
88,2018,Kota Palangkaraya,1,Wakil Walikota,"H. Rahmadi Hn,Sh.,Mpa",9.822,8.65%
88,2018,Kota Palangkaraya,2,Walikota,"H. Rusliansyah, Se.,M.Ap",15.757,13.88%
88,2018,Kota Palangkaraya,2,Wakil Walikota,"Rogas Usup, St",15.757,13.88%
88,2018,Kota Palangkaraya,3,Walikota,"Fairid Naparin, Se",49.482,43.59%
88,2018,Kota Palangkaraya,3,Wakil Walikota,"Hj. Umi Mastikah, Sh",49.482,43.59%
88,2018,Kota Palangkaraya,4,Walikota,"Aries Marcorius Narang, Se., M.Si",38.452,33.87%
88,2018,Kota Palangkaraya,4,Wakil Walikota,"Habib Said Akhmad Fawzi Zain Bachsin, S.Hi",38.452,33.87%
89,2018,Kabupaten Lamandau,1,Bupati,"Taji Pranito, S.Pd",2.544,6.37%
89,2018,Kabupaten Lamandau,1,Wakil Bupati,Gandhi Nuswantara,2.544,6.37%
89,2018,Kabupaten Lamandau,2,Bupati,Sata Umani,1.872,4.69%
89,2018,Kabupaten Lamandau,2,Wakil Bupati,"H. Karyadi, Sh",1.872,4.69%
89,2018,Kabupaten Lamandau,3,Bupati,"Fx. Perwiragato, S.Ip",11.317,28.35%
89,2018,Kabupaten Lamandau,3,Wakil Bupati,Taufik Hidayat,11.317,28.35%
89,2018,Kabupaten Lamandau,4,Bupati,H. Hendra Lesmana,24.189,60.59%
89,2018,Kabupaten Lamandau,4,Wakil Bupati,"Riko Porwanto, S.Stp",24.189,60.59%
90,2018,Kabupaten Murung Raya,1,Bupati,"H. Aprian Noor, S.Sos",21.708,41.15%
90,2018,Kabupaten Murung Raya,1,Wakil Bupati,"Susilo, Se, Mm",21.708,41.15%
90,2018,Kabupaten Murung Raya,2,Bupati,"Drs. Perdie, Ma",30.17,57.19%
90,2018,Kabupaten Murung Raya,2,Wakil Bupati,"Rejikinoor, S.Sos",30.17,57.19%
90,2018,Kabupaten Murung Raya,3,Bupati,"H. Syapuani, Se.,Mm",877,1.66%
90,2018,Kabupaten Murung Raya,3,Wakil Bupati,"Dihasbi, S.Pd.I.,M.Pd",877,1.66%
91,2018,Kabupaten Pulang Pisau,1,Bupati,"H. Idham Amur, S.H., M.Si.",33.012,47.97%
91,2018,Kabupaten Pulang Pisau,1,Wakil Bupati,"H. Ahmad Jayadikarta, S.Ip.",33.012,47.97%
91,2018,Kabupaten Pulang Pisau,2,Bupati,"H. Edy Pratowo, S.Sos., Mm.",35.811,52.03%
91,2018,Kabupaten Pulang Pisau,2,Wakil Bupati,Pudjirustaty Narang,35.811,52.03%
92,2018,Kabupaten Seruyan,1,Bupati,"H. Sudarsono, S.H.",20.536,33.90%
92,2018,Kabupaten Seruyan,1,Wakil Bupati,"Hairil Yadi, S.H.",20.536,33.90%
92,2018,Kabupaten Seruyan,2,Bupati,Drs. H. Edy Riswan,12.462,20.57%
92,2018,Kabupaten Seruyan,2,Wakil Bupati,"Soetoyo. S Darno, M.M.",12.462,20.57%
92,2018,Kabupaten Seruyan,3,Bupati,Yulhaidir,27.583,45.53%
92,2018,Kabupaten Seruyan,3,Wakil Bupati,"Hj. Iswanti, S.E., M.M.",27.583,45.53%
93,2018,Kabupaten Sukamara,1,Bupati,"H. Ahmad Darsoni, Skm, M.Si",10.799,36.02%
93,2018,Kabupaten Sukamara,1,Wakil Bupati,Ir. H. Mohamad Yamin,10.799,36.02%
93,2018,Kabupaten Sukamara,2,Bupati,"H. Mugeni, Sh.,Mh",4.981,16.61%
93,2018,Kabupaten Sukamara,2,Wakil Bupati,"Daman Huri, S.Ip",4.981,16.61%
93,2018,Kabupaten Sukamara,3,Bupati,H. Windu Subagio,14.203,47.37%
93,2018,Kabupaten Sukamara,3,Wakil Bupati,"H. Ahmadi, Sh",14.203,47.37%
94,2018,Kabupaten Penajam Paser Utara,1,Bupati,"Mustaqim, Mz.Mm",13.202,16.08%
94,2018,Kabupaten Penajam Paser Utara,1,Wakil Bupati,"Sofian Nur, St",13.202,16.08%
94,2018,Kabupaten Penajam Paser Utara,2,Bupati,"H. Andi Harahap, S.Sos",31.66,38.55%
94,2018,Kabupaten Penajam Paser Utara,2,Wakil Bupati,"H. Fadly Imawan, Sp.Mp",31.66,38.55%
94,2018,Kabupaten Penajam Paser Utara,3,Bupati,Abdul Gafur,37.265,45.37%
94,2018,Kabupaten Penajam Paser Utara,3,Wakil Bupati,Ir. H. Hamdam,37.265,45.37%
95,2018,Kota Tarakan,1,Walikota,"Hj. Umi Suhartini, S.Pd. M.H",25.611,28.13%
95,2018,Kota Tarakan,1,Wakil Walikota,"H. Mahrudin Mado, Se",25.611,28.13%
95,2018,Kota Tarakan,2,Walikota,"Dr. Khairul, M.Kes",28.099,30.87%
95,2018,Kota Tarakan,2,Wakil Walikota,Effendhi Djuprianto,28.099,30.87%
95,2018,Kota Tarakan,3,Walikota,"Drs. H. Badrun, Msi",17.924,19.69%
95,2018,Kota Tarakan,3,Wakil Walikota,Ince A. Rifai,17.924,19.69%
95,2018,Kota Tarakan,4,Walikota,"Ir. Sofian, M.Si",19.399,21.31%
95,2018,Kota Tarakan,4,Wakil Walikota,"Sabar Santuso, St., Mpd",19.399,21.31%
96,2018,Kabupaten Bangka,1,Bupati,"Ir. H. Tarmizi H. Saat, Mm",34.706,28.48%
96,2018,Kabupaten Bangka,1,Wakil Bupati,"Amri Cahyadi, St",34.706,28.48%
96,2018,Kabupaten Bangka,2,Bupati,"Mulkan, Sh. Mh",59.304,48.66%
96,2018,Kabupaten Bangka,2,Wakil Bupati,"Syahbudin, S.Ip",59.304,48.66%
96,2018,Kabupaten Bangka,3,Bupati,"Dr.Ir. H. Kms. Daniel, Mm",27.864,22.86%
96,2018,Kabupaten Bangka,3,Wakil Bupati,"Fadillah Sabri, St, M.Eng",27.864,22.86%
97,2018,Kabupaten Belitung,1,Bupati,"Ir. H. Azwardy Azhar, Se., M.Si",22.458,26.13%
97,2018,Kabupaten Belitung,1,Wakil Bupati,Drs. H. Erwandi A Rani,22.458,26.13%
97,2018,Kabupaten Belitung,2,Bupati,"Hellyana, Sh",25.973,30.22%
97,2018,Kabupaten Belitung,2,Wakil Bupati,Junaidi Rachman,25.973,30.22%
97,2018,Kabupaten Belitung,3,Bupati,"H. Andi Saparudin Lanna, Sh",9.163,10.66%
97,2018,Kabupaten Belitung,3,Wakil Bupati,"Zulfriandi Afan, Se",9.163,10.66%
97,2018,Kabupaten Belitung,4,Bupati,"H. Sahani Saleh, S.Sos",28.366,33.00%
97,2018,Kabupaten Belitung,4,Wakil Bupati,"Isyak Meirobie, S.Sn",28.366,33.00%
98,2018,Kota Pangkalpinang,1,Walikota,"Rinaldi, S.E., M.H.",6.562,8.58%
98,2018,Kota Pangkalpinang,1,Wakil Walikota,"Ir. B. Sarjulianto, Dipl., S.E.",6.562,8.58%
98,2018,Kota Pangkalpinang,2,Walikota,"Prof. H. Saparudin, M.T., Ph.D",25.283,33.07%
98,2018,Kota Pangkalpinang,2,Wakil Walikota,Drs. H. Edison,25.283,33.07%
98,2018,Kota Pangkalpinang,3,Walikota,"H. Maulan Aklil, S.I.P., M.Si.",31.792,41.59%
98,2018,Kota Pangkalpinang,3,Wakil Walikota,"Muhammad Sopian, B.A.",31.792,41.59%
98,2018,Kota Pangkalpinang,4,Walikota,"Endang Kusumawaty, S.T.",12.812,16.76%
98,2018,Kota Pangkalpinang,4,Wakil Walikota,Ismiryadi,12.812,16.76%
99,2018,Kota Tanjungpinang,1,Walikota,"H. Syahrul, S.Pd.Sd",42.559,51.45%
99,2018,Kota Tanjungpinang,1,Wakil Walikota,"Rahma, S.Ip",42.559,51.45%
99,2018,Kota Tanjungpinang,2,Walikota,"H. Lis Darmansyah, Sh",40.161,48.55%
99,2018,Kota Tanjungpinang,2,Wakil Walikota,Dr.Maya Suryanti,40.161,48.55%
100,2018,Kabupaten Lampung Utara,1,Bupati,"Drs. Hi. ZAINAL ABIDIN, MM",97014,32.84
100,2018,Kabupaten Lampung Utara,1,Wakil Bupati,"M. YUSRIZAL, ST",97014,32.84
100,2018,Kabupaten Lampung Utara,2,Bupati,Hi. APROZI ALAM,52276,17.7
100,2018,Kabupaten Lampung Utara,2,Wakil Bupati,"Dra. ICE SURYANA, S.Pd",52276,17.7
100,2018,Kabupaten Lampung Utara,3,Bupati,"H. AGUNG ILMU MANGKUNEGARA, S.STP. MH.",146137,49.47
100,2018,Kabupaten Lampung Utara,3,Wakil Bupati,"H. BUDI UTOMO, SE. MM",146137,49.47
